title,price,shop,comment,link
戴睿（dere）国家补贴英特尔轻薄本14英寸便携笔记本电脑自营 学生网课设计游戏娱乐商务办公本 8G+128G 星空灰,￥990.00,DERE戴睿京东自营旗舰店,2万+条评价,https://item.jd.com/100053554962.html
HALIWEI国行【2025款英特尔+酷睿i7】笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 【AI终端】英特尔16Ultra1060独显+蓝光 32GB运存+,￥2476.00,HALIWEI旗舰店,5万+条评价,https://item.jd.com/10107525100540.html
NAIWO国行【2025新款英特尔+酷睿i7】笔记本电脑高性能超薄轻薄本网课商务办公设计游戏本大学生手提AI 英特尔15代14英寸+全面屏+抗蓝光-银 16G内存+256G,￥1078.00,NAIWO旗舰店,1万+条评价,https://item.jd.com/10048781689630.html
华硕天选6 Pro 锐龙版 国家补贴20% 16英寸游戏本 笔记本电脑(锐龙9 8940HX 16G 1T RTX5060 2.5K)灰,￥8499.00,华硕京东自营官方旗舰店,5万+条评价,https://item.jd.com/100172948815.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 银【AI终端】4K英特尔16Ultra全面屏 16G运行+256G超速硬盘,￥1108.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10043598885654.html
ThinkPad【国家补贴20%】联想ThinkBook16+ 2025轻薄办公 英特尔酷睿Ultra5 16英寸 32G 1T 3.2K,￥6499.00,ThinkPad京东自营旗舰店,5万+条评价,https://item.jd.com/100152568819.html
LGME拯救系列2025款笔记本电脑酷睿i9+RTX4060独显高性能大学生补贴AI编程设计轻薄本黑悟空电竞游戏本 【拯救系列】酷睿i9级+独显+指纹解锁+英雄联盟 32,￥2814.90,LGME旗舰店,1万+条评价,https://item.jd.com/10107864998738.html
惠普（HP）暗影精灵乐享版【国家补贴20%】16.1英寸游戏本 笔记本(酷睿14代i7-14650HX RTX4060 16G 512G),￥6399.00,惠普（HP）OMEN暗影精灵京东自营旗舰店,10万+条评价,https://item.jd.com/100105984897.html
联想小新Pro14笔记本电脑 2025可选酷睿i5高性能超轻薄本 设计扬天v办公大学生游戏本air14异能者可选 N100 16G内存 512G高速固态 P14H IPS全高清屏 满血性能,￥2399.00,联想福本专卖店,1万+条评价,https://item.jd.com/10130617805552.html
戴睿（dere）国家补贴商务旗舰高性能笔记本电脑自营 办公设计绘图学生网课娱乐游戏手提轻薄本 英特尔16G+512G,￥1736.00,DERE戴睿京东自营旗舰店,1万+条评价,https://item.jd.com/100061693621.html
机械革命极光X 酷睿i7HX 游戏本笔记本电脑(i7-13700HX 16G 1T RTX5060 2.5K屏 180Hz 灰),￥6799.00,机械革命京东自营旗舰店,20万+条评价,https://item.jd.com/100173612431.html
惠普（HP）【国家补贴20%】锐14 AMD锐龙 14英寸轻薄笔记本电脑(六核R5-7530U 8G 512G 指纹 一年上门),￥2699.00,惠普（HP）京东自营旗舰店,5万+条评价,https://item.jd.com/100046501064.html
i7满血独显笔记本电脑轻薄本高端高性能金属游戏设计大学生 酷睿i7集显【4K+全能本+全面屏+背光+指纹锁】 32G内存+1TB超速硬盘,￥4588.00,亿盛源电脑办公专营店,1万+条评价,https://item.jd.com/10115117113575.html
华硕天选6 Pro 锐龙版 国家补贴20% 16英寸游戏本 笔记本电脑(锐龙9 8940HX 16G 1T RTX5070 2.5K)灰,￥9499.00,华硕京东自营官方旗舰店,5万+条评价,https://item.jd.com/100212784844.html
H&U&W国行【2025新英特尔+酷睿i7】笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 【15代14英寸】英特尔IPS护眼+9D蓝光全面屏 16G内,￥1210.00,H&U&W旗舰店,5万+条评价,https://item.jd.com/10038237747026.html
华硕天选6 国家补贴20% 16英寸游戏本 笔记本电脑(锐龙7 H 260 16G 1T RTX5060 2.5K)青,￥7999.00,华硕京东自营官方旗舰店,5000+条评价,https://item.jd.com/100223758264.html
华硕无畏16 酷睿版 国家补贴20% 标压i5 2.5K 144Hz高分高刷高性能轻薄笔记本电脑(i5 16G 1T）,￥4399.00,华硕京东自营官方旗舰店,2万+条评价,https://item.jd.com/100142252237.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 【顶配】intel 16mas|高芯独显|全面屏 32G运行+2048G超速硬,￥2668.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10043598885660.html
LGME拯救系列2025款笔记本电脑酷睿i9+RTX4060独显高性能大学生补贴AI编程设计轻薄本黑悟空电竞游戏本 【拯救系列】满血标压酷睿i9+独显+畅玩黑悟空 32G,￥3888.00,LGME旗舰店,1万+条评价,https://item.jd.com/10107864998754.html
小米笔记本电脑【国家补贴20%】红米 REDMI Book 16 2024 焕新版 13代酷睿i5标压 16英寸 办公轻薄本,￥3798.00,小米京东自营旗舰店,5万+条评价,https://item.jd.com/100105522236.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 intel酷睿i7新全能本|窄边屏|指纹锁 32G运行+1024G超速硬,￥3548.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10043598885669.html
ThinkPad【国家补贴20%】联想ThinkBook 14 2025英特尔酷睿5 220H 16G 1T 2.8K 120Hz高刷屏,￥4699.00,ThinkPad京东自营旗舰店,2万+条评价,https://item.jd.com/100171883204.html
联想笔记本电脑小新14高能轻薄本 标压锐龙7 8745H 16G 512G 高色域护眼屏 丰富接口【国家补贴20%】,￥3499.00,联想京东自营旗舰店,5万+条评价,https://item.jd.com/100212482416.html
神舟（HASEE）【国家补贴20% RTX5060】战神S8 13代酷睿i7 15.6英寸游戏本(i7-13620H 16G 1TB 165Hz),￥5999.00,神舟电脑京东自营旗舰店,5万+条评价,https://item.jd.com/100227472502.html
戴睿（dere）国家补贴20%爆款16英寸高性能酷睿i9 笔记本电脑自营旗舰轻薄 AI智能商务办公游戏本 32G/2TB 2.5K,￥3990.00,DERE戴睿京东自营旗舰店,5000+条评价,https://item.jd.com/100067098530.html
联想笔记本电脑 小新14SE 2025 高性能轻薄本标压酷睿i5 16G 512G可扩展内存硬盘 办公【国家补贴20%】,￥3399.00,联想京东自营旗舰店,5万+条评价,https://item.jd.com/100171614254.html
联想拯救者R7000P 2025 游戏笔记本电脑(锐龙9 8940HX 16G 1T RTX5060 2.5K 240Hz 黑)国家补贴20%,￥8999.00,联想京东自营旗舰店,20万+条评价,https://item.jd.com/100226110098.html
联想小新Pro16锐龙版2025补贴20%笔记本电脑可选AI全能本120Hz高刷游戏设计办公大学生网课V超轻薄本 R5-7430U 32G内存 1TB固态|A15H 游戏级集显 全新升级 WiF6,￥3669.00,联想利拓信通专卖店,5000+条评价,https://item.jd.com/10160108231779.html
KHXZ国行【可选英特尔酷睿i7独显】15.6英寸笔记本电脑轻薄本学生商务办公超薄便携高性能游戏本手提 【AI终端】英特尔15pro+窄边全面屏9D蓝光 12GB运行,￥900.00,童昇一九科技电脑整机专营店,1万+条评价,https://item.jd.com/10067855193017.html
华为MateBook D 16 SE 店铺预装Windows版 国家补贴20% 13代酷睿标压处理器i5 16G 1T 皓月银,￥3799.00,华为京东自营旗舰店,10万+条评价,https://item.jd.com/100176738445.html
联想拯救者R9000P 2025 AI元启游戏笔记本电脑(锐龙9 8945HX 32G1T RTX5070 2.5K240Hz 黑)国家补贴20%,￥10999.00,联想京东自营旗舰店,10万+条评价,https://item.jd.com/100169205655.html
H&U&W国行【2025新英特尔+酷睿i7】笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 【15代14英寸】英特尔IPS护眼+9D蓝光全面屏 8G内,￥955.00,H&U&W旗舰店,5万+条评价,https://item.jd.com/10038237747020.html
HALIWEI国行【2025款英特尔+酷睿i7】笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 【轻薄款】14代英特尔（IPS护眼屏） 32GB运存+,￥2038.00,HALIWEI旗舰店,5万+条评价,https://item.jd.com/10053758851871.html
小米笔记本电脑【国家补贴20%】红米 REDMI Book 16 2024 酷睿i5标压 16英寸 1TB办公学生轻薄本,￥3499.00,小米京东自营旗舰店,5万+条评价,https://item.jd.com/100081064730.html
UIG拯救系列国行【2025新英特尔酷睿i9】64G笔记本电脑轻薄本学生办公高性能游戏本金榜设计AI手提本 【拯救系列】酷睿i9级/6G独显卡/【畅玩黑悟空】 3,￥3187.00,UIG电脑旗舰店,500+条评价,https://item.jd.com/10148410852371.html
华为MateBook D 16 高能版 Linux版 国家补贴20% 笔记本电脑 13代酷睿i5-13500H 16G 1T皓月银,￥4699.00,华为京东自营旗舰店,10万+条评价,https://item.jd.com/100214658094.html
联想小新Pro16 2025轻薄笔记本电脑 2代酷睿Ultra5 32G 1T 2.8K OLED 120Hz 1100nits【国家补贴20%】,￥5999.00,联想京东自营旗舰店,20万+条评价,https://item.jd.com/100157971231.html
华硕a豆14 2025新品AI轻薄本 笔记本电脑(13代i5 16G 1T大硬盘 护眼屏 赠office)国家补贴20% 办公学生,￥3599.00,华硕京东自营官方旗舰店,5万+条评价,https://item.jd.com/100096927364.html
小米（MI）小米笔记本电脑【国家补贴20%】红米REDMI Book 16 2025轻薄本高性能13代酷睿 32G 1T新品上市,￥4799.00,小米京东自营旗舰店,5000+条评价,https://item.jd.com/100213996616.html
戴睿（dere）国家补贴20%爆款16英寸高性能酷睿i9 笔记本电脑自营旗舰轻薄 AI智能商务办公游戏本 32G/1TB 2.5K,￥3487.00,DERE戴睿京东自营旗舰店,5000+条评价,https://item.jd.com/100068523527.html
LGME拯救系列2025款笔记本电脑酷睿i9+RTX4060独显高性能大学生补贴AI编程设计轻薄本黑悟空电竞游戏本 【拯救系列】AI终端酷睿i9级+4K级高清护眼屏 16G大,￥1448.00,LGME旗舰店,1万+条评价,https://item.jd.com/10120248933170.html
雷神猎刃S 2025【英特尔酷睿i9HX】16英寸AI设计编程游戏本笔记本电脑(RTX5060 16G1T)国家政府补贴20%,￥7699.00,雷神京东自营旗舰店,2万+条评价,https://item.jd.com/100212308572.html
神舟（HASEE）【国家补贴20%】战神Z8 12代酷睿i5 15.6英寸游戏本笔记本电脑(i5-12450H RTX4050 16G 512G),￥4599.00,神舟电脑京东自营旗舰店,2万+条评价,https://item.jd.com/100064244760.html
惠普（HP）【国家补贴20%】战66 六代 15.6英寸轻薄笔记本电脑酷睿13代i5 32G 1TB 2.5K高色域 120Hz 办公 AI,￥4499.00,惠普（HP）京东自营旗舰店,20万+条评价,https://item.jd.com/100135362434.html
UIG拯救系列国行【2025新英特尔酷睿i9】64G笔记本电脑轻薄本学生办公高性能游戏本金榜设计AI手提本 【拯救系列】酷睿i9级/背光指纹解锁【英雄联盟,￥1988.00,UIG电脑旗舰店,500+条评价,https://item.jd.com/10148410852365.html
i7满血独显笔记本电脑轻薄本高端高性能金属游戏设计大学生 酷睿i7集显【4K+全能本+全面屏+背光+指纹锁】 32G内存+2TB超速硬盘,￥5088.00,亿盛源电脑办公专营店,1万+条评价,https://item.jd.com/10115117113576.html
联想拯救者R9000P 2025 AI元启游戏笔记本电脑(锐龙9 8945HX 32G1T RTX5070 2.5K240Hz 白)国家补贴20%,￥11299.00,联想京东自营旗舰店,10万+条评价,https://item.jd.com/100169205657.html
华为MateBook D 16 SE Linux版 国家补贴20% 笔记本电脑 13代酷睿标压处理器 i5 16G 1T 皓月银,￥3799.00,华为京东自营旗舰店,10万+条评价,https://item.jd.com/100168275157.html
荣耀笔记本 X16 2025 【国家补贴】13代酷睿标压i7 16G 1T 全金属机身 16吋护眼屏 轻薄 灰,￥3999.00,荣耀京东自营旗舰店,2万+条评价,https://item.jd.com/100147681208.html
华硕a豆14 Air悦享版 AI轻薄笔记本电脑(R9 H 270 32G 1T 2.5K护眼屏 17小时续航)国家补贴20%办公学生,￥4999.00,华硕京东自营官方旗舰店,2000+条评价,https://item.jd.com/100190271656.html
极械革命2025新款笔记本电脑酷睿i9百万跑分性能大学生编程高清护眼AI轻薄本黑悟空金属4060电竞游戏本 【革命系列】酷睿i9级+独显+指纹解锁+英雄联,￥2896.00,极械元启小新专卖店,2000+条评价,https://item.jd.com/10133031909465.html
机械革命极光X 潮玩版 酷睿i7HX 游戏本笔记本电脑(i7-14650HX 32G 1T RTX5060 2.5K屏 300Hz 灰),￥7699.00,机械革命京东自营旗舰店,20万+条评价,https://item.jd.com/100241535732.html
玩嘉国补20% 【15代屏英特尔intel】国家补贴 笔记本电脑轻薄本 可选游戏办公学生 银色16G+512GB,￥1499.00,玩嘉电脑京东自营旗舰店,200+条评价,https://item.jd.com/100157264401.html
i7满血独显笔记本电脑轻薄本高端高性能金属游戏设计大学生 英特尔13 Pro【2.5K全面屏+抗蓝光+指纹】 32G内存+256G超速硬盘,￥2088.00,亿盛源电脑办公专营店,1万+条评价,https://item.jd.com/10115117113557.html
NAIWO国行【2025款16代英特尔+AMD锐龙】大屏笔记本电脑轻薄便携笔记本游戏本学生Ai办公设计网课独显 英特尔酷睿i9级性能+6G独显-GTX1060-灰 32G运行+1TB高,￥2398.00,NAIWO旗舰店,2000+条评价,https://item.jd.com/10107554338636.html
戴睿（dere）国家补贴商务本平板二合一笔记本电脑自营 轻薄便携商务办公学习设计游戏娱乐触控金属本 32G+1TB,￥2915.00,DERE戴睿京东自营旗舰店,5000+条评价,https://item.jd.com/100137550838.html
机械革命【国家补贴20%】无界15Pro( R7-8745HS 16G 1T 90Wh 120Hz 2.5K 高色域)轻薄本游戏本,￥3999.00,机械革命京东自营旗舰店,1万+条评价,https://item.jd.com/100149388828.html
宏碁（acer）新暗影骑士·擎6 国家补贴20% 16英寸游戏本 笔记本电脑(14代i7HX 16G 1TB RTX4060 2.5K),￥6999.00,宏碁京东自营旗舰店,1万+条评价,https://item.jd.com/100129908197.html
联想笔记本电脑小新Pro14GT AI元启轻薄本2025 2代酷睿Ultra5 32G 1T 2.8K高刷OLED【国家补贴20%】,￥6599.00,联想京东自营旗舰店,20万+条评价,https://item.jd.com/100186215392.html
小米笔记本电脑【国家补贴20%】红米 REDMI Book Pro 14 2024 酷睿标压Ultra5 2.8K120hz高刷屏 轻薄本,￥4398.00,小米京东自营旗舰店,2万+条评价,https://item.jd.com/100105522172.html
机械革命极光X 酷睿i7HX 游戏本笔记本电脑(i7-13700HX 16G 1T RTX5060 2.5K屏 180Hz 白),￥6999.00,机械革命京东自营旗舰店,20万+条评价,https://item.jd.com/100224750820.html
方正鲲鹏系列笔记本电脑高性能15.6英寸12G大学生办公商务N95娱乐1TB大容量超轻薄本手提,￥1769.00,方正Founder京东自营旗舰店,1万+条评价,https://item.jd.com/100120701669.html
荣耀MagicBook Pro14【国家补贴20%】AI轻薄笔记本 92Wh电池 14.6吋U5-225H 32G 1T 3.1K绿洲护眼屏 灰,￥6099.00,荣耀京东自营旗舰店,2万+条评价,https://item.jd.com/100149749549.html
得峰14英寸笔记本电脑 英特尔游戏超轻薄笔记本电脑 高性能轻薄本 高清屏M2固态硬盘,￥789.00,得峰京东自营旗舰店,5000+条评价,https://item.jd.com/100025600210.html
ThinkPad【国家补贴20%】联想ThinkBook 14+2025锐龙AI全能本R7 H 260 14.5英寸32G 1T 3K高刷屏,￥5699.00,ThinkPad京东自营旗舰店,5万+条评价,https://item.jd.com/100154969381.html
惠普（hp)【国家补贴20%】锐 15.6 英寸高清屏轻薄商务办公笔记本电脑本 R5-7530U 8G 512G 指纹识别,￥2899.00,HP惠普商用京东自营旗舰店,200+条评价,https://item.jd.com/100138442585.html
联想笔记本电脑小新16高能轻薄本 标压锐龙7 8745H 16G 512G 高色域护眼屏 丰富接口【国家补贴20%】,￥3699.00,联想京东自营旗舰店,5万+条评价,https://item.jd.com/100165430241.html
雷神猎刃S 2025【英特尔酷睿i9HX】16英寸AI设计编程游戏笔记本电脑(RTX5070Ti 16G1T)国家政府补贴20%,￥9999.00,雷神京东自营旗舰店,2万+条评价,https://item.jd.com/100200144102.html
联想笔记本电脑小新Pro16GT AI元启轻薄本2025 2代酷睿Ultra5 32G 1T 2.8K高刷OLED【国家补贴20%】,￥6799.00,联想京东自营旗舰店,20万+条评价,https://item.jd.com/100185894090.html
神舟（HASEE）【国家补贴20%】战神Z8 12代酷睿i5 15.6英寸游戏本笔记本电脑(i5-12450H RTX4060 16G 512G),￥4999.00,神舟电脑京东自营旗舰店,2万+条评价,https://item.jd.com/100193664014.html
宏碁(Acer)优跃air笔记本电脑 国家补贴20% 14英寸学生教育办公轻薄本(四核N100 8G 512G 全高清IPS),￥1879.00,宏碁商用京东自营旗舰店,5000+条评价,https://item.jd.com/100060555308.html
机械革命【国家补贴20%】极光15 15.6英寸游戏本笔记本电脑(I5-12450HX 16G 512G RTX4050 165HZ ),￥4999.00,机械革命京东自营旗舰店,20万+条评价,https://item.jd.com/100121942885.html
戴睿（dere）国家补贴英特尔14英寸2K超清屏笔记本电脑自营超轻薄便携学生网课游戏商务办公12G/256G 星空灰,￥1380.00,DERE戴睿京东自营旗舰店,2万+条评价,https://item.jd.com/100115497119.html
惠普（HP）【国家补贴20%电脑】战99 高性能笔记本AI锐龙版 16英寸R7-8845HS 32G 1T 2.5K屏,￥5399.00,惠普（HP）京东自营旗舰店,2万+条评价,https://item.jd.com/100111236192.html
神舟（HASEE）【国家补贴20%】战神S8 13代酷睿i7 游戏本笔记本电脑(i7-13620H 16G 512G RTX4060 144Hz),￥5499.00,神舟电脑京东自营旗舰店,5万+条评价,https://item.jd.com/100074237830.html
华硕破晓3 国家补贴20% 15.6英寸轻薄办公指纹人脸双识别笔记本电脑（13代酷睿i5 16G 1TB ）,￥3499.00,华硕京东自营官方旗舰店,2万+条评价,https://item.jd.com/100061943048.html
联想笔记本电脑小新14 2025高性能轻薄本 英特尔酷睿标压i5 24G 512G 高色域 办公【国家补贴20%】,￥3799.00,联想京东自营旗舰店,5万+条评价,https://item.jd.com/100154268231.html
